locationId,name,postcode,sector,registrationStatus,registrationDate,careHome,services,in_jan_2026_spreadsheet,jan_2026_match_kind,jan_2026_loc_id,jan_2026_name,jan_2026_postcode,jan_2026_service_types,already_in_live_but_different_services,live_services_before,classification,locationURL
1-8530575855,INNOVATIVE SUPPORT LTD,TW18 3BA,TW18 3,Registered,2020-04-16,N,Supported living,True,id_match,1-8530575855,INNOVATIVE SUPPORT LTD,TW18 3BA,Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-8530575855
1-8531217650,Cossins House Care Home,KT11 3LZ,KT11 3,Registered,2020-04-07,Y,Residential homes,True,id_match,1-8531217650,Cossins House Care Home,KT11 3LZ,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-8531217650
1-8680528358,QEF Care and Rehabilitation Centre,KT22 0BN,KT22 0,Registered,2020-06-15,Y,Nursing homes,True,id_match,1-8680528358,QEF Care and Rehabilitation Centre,KT22 0BN,Nursing homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-8680528358
1-9654506648,17 Heathcote Road,KT18 5DX,KT18 5,Registered,2020-11-26,N,Supported living,True,id_match,1-9654506648,17 Heathcote Road,KT18 5DX,Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-9654506648
1-9656286095,Emezzions Care,KT6 7LD,KT6 7,Registered,2020-10-06,N,Homecare agencies;Supported living,True,id_match,1-9656286095,Emezzions Care,KT6 7LD,Homecare agencies|Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-9656286095
1-9660381734,Chandon,KT21 2TQ,KT21 2,Registered,2020-11-26,N,Supported living,True,id_match,1-9660381734,Chandon,KT21 2TQ,Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-9660381734
1-9668348941,Mill Road,KT17 4AR,KT17 4,Registered,2020-11-26,N,Supported living,True,id_match,1-9668348941,Mill Road,KT17 4AR,Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-9668348941
RXX17,Hillcroft,KT19 8QJ,KT19 8,Registered,2010-10-27,Y,Residential homes,True,id_match,RXX17,Hillcroft,KT19 8QJ,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXX17
RXX18,The Shieling,KT19 8QJ,KT19 8,Registered,2010-10-27,Y,Residential homes,True,id_match,RXX18,The Shieling,KT19 8QJ,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXX18
RXXFR,Ashmount,KT19 8QJ,KT19 8,Registered,2013-10-03,Y,Nursing homes,True,id_match,RXXFR,Ashmount,KT19 8QJ,Nursing homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXXFR
RXXFT,Derby House,KT19 8QJ,KT19 8,Registered,2013-10-03,Y,Residential homes,True,id_match,RXXFT,Derby House,KT19 8QJ,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXXFT
RXXHQ,Trust Headquarters,KT22 7AD,KT22 7,Registered,2010-06-18,N,Community services - Learning disabilities;Community services - Mental Health;Prison healthcare;Supported living;Community services - Substance abuse,True,id_match,RXXHQ,Trust Headquarters,KT22 7AD,Community services - Learning disabilities|Community services - Mental Health|Prison healthcare|Supported living|Community services - Substance abuse,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXXHQ
RXXZ2,Jasmine at Primrose,KT19 8PB,KT19 8,Registered,2015-10-05,Y,Residential homes,True,id_match,RXXZ2,Jasmine at Primrose,KT19 8PB,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXXZ2
RXXZ5,Kingscroft,TW18 1ED,TW18 1,Registered,2014-03-12,Y,Residential homes,True,id_match,RXXZ5,Kingscroft,TW18 1ED,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/RXXZ5
